ratingKey,title,addedAt,duration,durationHuman,guid,playlistType,smart,summary,type,items.addedAt,items.audienceRating,items.audienceRatingImage,items.contentRating,items.duration,items.durationHuman,items.editionTitle,items.episodeNumber,items.grandparentGuid,items.grandparentRatingKey,items.grandparentTitle,items.guid,items.hasCommercialMarker,items.hasCreditsMarker,items.hasIntroMarker,items.locations,items.originalTitle,items.originallyAvailableAt,items.parentGuid,items.parentRatingKey,items.parentTitle,items.parentYear,items.rating,items.ratingImage,items.ratingKey,items.seasonEpisode,items.seasonNumber,items.studio,items.summary,items.tagline,items.title,items.titleSort,items.type,items.userRating,items.year,items.media.aspectRatio,items.media.audioChannels,items.media.audioCodec,items.media.audioProfile,items.media.bitrate,items.media.container,items.media.duration,items.media.hdr,items.media.height,items.media.isOptimizedVersion,items.media.videoCodec,items.media.videoFrameRate,items.media.videoProfile,items.media.videoResolution,items.media.width
37494,Farout44,2025-05-23T18:11:39,4718130000,54 days 14 hrs 36 mins,com.plexapp.agents.none://dc1380a7-6c34-4ba7-9ba9-aa5e3f9461cc,video,False,,playlist,2024-03-16T15:01:38,6.5,rottentomatoes://image.rating.upright,R,6533941,1 hr 49 mins,,,,,,plex://movie/5e16337554420c003c212b61,,False,,/volume1/PLEX_MEDIA/Genres/Sci-Fi/Spaceman.2024.720p.WEBRip.x264.AAC-[YTS.MX].mp4,,2024-03-01,,,,,5.2,rottentomatoes://image.rating.rotten,23743,,,Free Association,"Half a year into his solo mission on the edge of the solar system, an astronaut concerned with the state of his life back on Earth is helped by an ancient creature he discovers in the bowels of his ship.",I just want to go home.,Spaceman,Spaceman,movie,,2024,2.35,2,aac,lc,1277,mp4,6533941,False,544,False,h264,24p,high,720,1280
,,,,,,,,,,2024-03-05T09:19:16,7.9,rottentomatoes://image.rating.upright,PG-13,7027903,1 hr 57 mins,,,,,,plex://movie/5d776c17594b2b001e6eac2b,,False,,/volume1/PLEX_MEDIA/Genres/Drama/Split (2016).mp4,,2017-01-18,,,,,7.8,rottentomatoes://image.rating.ripe,10122,,,Universal Pictures,"Though Kevin (James McAvoy) has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher (Betty Buckley), there remains one still submerged who is set to materialize and dominate all of the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him -- as well as everyone around him -- as the walls between his compartments shatter.",Kevin has 23 distinct personalities. The 24th is about to be unleashed.,Split,Split,movie,,2017,2.35,2,aac,lc,2178,mp4,7027903,False,800,False,h264,24p,high,1080,1920
,,,,,,,,,,2024-03-05T09:18:23,7.5,rottentomatoes://image.rating.upright,PG-13,5737732,1 hr 36 mins,,,,,,plex://movie/5d7768323c3c2a001fbcd96e,,False,,/volume1/PLEX_MEDIA/Genres/Horror/Tremors (1990).mp4,,1990-01-19,,,,,8.8,rottentomatoes://image.rating.ripe,9510,,,No Frills Film Production,"A small town gradually becomes aware of a strange creature which picks off people one by one. But what is this creature, and where is it? At the same time, a seismologist is working in the area, she detects _tremors_. The creature lives underground, and can 'pop up' without warning. Trapped in their town, the town-folk have no escape.",They say there's nothing new under the sun. But under the ground…,Tremors,Tremors,movie,,1990,1.85,2,aac,lc,1942,mp4,5737732,False,1040,False,h264,24p,high,1080,1920
,,,,,,,,,,2024-03-05T09:18:07,4.6,rottentomatoes://image.rating.spilled,PG-13,5967040,1 hr 39 mins,,,,,,plex://movie/5d9f34fc9dd5f4001e84304f,,False,,/volume1/PLEX_MEDIA/Genres/Horror/02 Tremors 2 Aftershocks - Comedy Horror 1996 Eng Subs 1080p [H246-mp4].mp4,,1996-04-09,,,,,6.4,rottentomatoes://image.rating.ripe,9394,,,Stampede Entertainment,"Earl Bassett, now a washed-up ex-celebrity, is hired by a Mexican oil company to eradicate a Graboid epidemic that's killing more people each day. However, the humans aren't the only one with a new battle plan.",The Worms have turned.,02 Tremors 2 Aftershocks Comedy Horror 1996 Eng Subs,Tremors 2,movie,,1996,1.85,2,aac,lc,2228,mp4,5967040,False,1040,False,h264,24p,high,1080,1920
,,,,,,,,,,2024-03-05T09:18:08,3.4,rottentomatoes://image.rating.spilled,PG,6215040,1 hr 44 mins,,,,,,plex://movie/5d9f34fcd5fd3f001ee14d59,,False,,/volume1/PLEX_MEDIA/Genres/Horror/03 Tremors 3 Back To Perfection - Comedy Horror 2001 Eng Subs 1080p [H246-mp4].mp4,,2001-10-02,,,,,8.0,rottentomatoes://image.rating.ripe,9395,,,Stampede Entertainment,"The now famous Burt Gummer returns to his hometown of Perfection, Nevada for the first time in years, but the deadliest Graboid evolution yet forces him to save the town he swore to protect.",The Food Chain Just Grew Another Link.,Tremors 3: Back to Perfection,Tremors 3: Back to Perfection,movie,,2001,1.85,2,aac,lc,2227,mp4,6215040,False,1040,False,h264,24p,high,1080,1920
,,,,,,,,,,2024-03-05T09:18:10,3.3,rottentomatoes://image.rating.spilled,PG-13,6058026,1 hr 41 mins,,,,,,plex://movie/5d9f34fcb0262f001f6e9426,,False,,/volume1/PLEX_MEDIA/Genres/Horror/04 Tremors 4 The Legend Begins - Comedy Horror 2004 Eng Subs 1080p [H246-mp4].mp4,,2004-01-02,,,,,,,9410,,,Stampede Entertainment,"A prequel to Tremors (1990), this movie tells us about how the town of Perfection, Nevada became founded and how they defended it against the Graboids with the help of Burt Gummer's ancestor, Hiram.",A Revolution Has Begun...,Tremors 4 The Legend Begins,Tremors 4,movie,,2004,1.85,2,aac,lc,2229,mp4,6058026,False,1040,False,h264,24p,high,1080,1920
,,,,,,,,,,2024-03-05T09:18:11,3.6,rottentomatoes://image.rating.spilled,PG-13,5935040,1 hr 39 mins,,,,,,plex://movie/5d776ba0f617c90020178596,,False,,/volume1/PLEX_MEDIA/Genres/Horror/05 Tremors 5 Bloodlines - Comedy Horror 2015 Eng Subs 1080p [H246-mp4].mp4,,2015-10-06,,,,,,,9411,,,Universal 1440 Entertainment,"The giant, man-eating Graboids are back and even deadlier than before, terrorizing the inhabitants of a South African wildlife reserve as they attack from below-and above.","The giant, man-eating graboids are back and even deadlier.",Tremors 5 Bloodlines,Tremors 5,movie,,2015,1.85,2,aac,lc,2228,mp4,5935040,False,1040,False,h264,24p,high,1080,1920
,,,,,,,,,,2024-02-20T06:58:23,2.7,rottentomatoes://image.rating.spilled,PG-13,5878592,1 hr 38 mins,,,,,,plex://movie/5d777049fb0d55001f5ecb90,,False,,/volume1/PLEX_MEDIA/Genres/Horror/06 Tremors 6 A Cold Day In Hell.mp4,,2018-05-01,,,,,4.0,rottentomatoes://image.rating.rotten,1526,,,Universal 1440 Entertainment,"The new sequel finds Burt Gummer, who's dying from Graboid poison, and his son Travis at a remote research station in Canada's Nunavut Territory, where they must go up against a new batch of Graboids to save Burt's life.",,Tremors: A Cold Day in Hell,Tremors: A Cold Day in Hell,movie,,2018,1.78,2,aac,lc,2306,mp4,5878592,False,1072,False,h264,24p,high,1080,1920
,,,,,,,,,,,,,,,,,,,,,,,,,/volume1/PLEX_MEDIA/Genres/Horror/Tremors.A.Cold.Day.In.Hell.2018.1080p.BluRay.x264-[YTS.AM].mp4,,,,,,,,,,,,,,,,,,,,1.78,2,aac,lc,2299,mp4,5878591,False,1072,False,h264,24p,high,1080,1920
,,,,,,,,,,2024-03-05T09:18:25,5.5,rottentomatoes://image.rating.spilled,PG,6076266,1 hr 41 mins,,,,,,plex://movie/5d77683cf54112001f5be73c,,False,,/volume1/PLEX_MEDIA/Genres/Horror/Twilight.Zone.The.Movie.1983.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,1983-06-24,,,,,5.9,rottentomatoes://image.rating.rotten,9541,,,Warner Bros. Pictures,"Four horror and science fiction segments, directed by four famous directors, each of them being a new version of a classic story from Rod Serling's landmark television series.","You're travelling through another dimension. A dimension, not only of sight and sound, but of mind. A journey into a wondrous land whose boundaries are that of imagination. Next stop, the Twilight Zone!",Twilight Zone: The Movie,Twilight Zone: The Movie,movie,,1983,1.78,6,aac,lc,2634,mp4,6076266,False,1072,False,h264,24p,high,1080,1920
